Player,Jersey_Num,Class,Position,Height,Weight,Hometown,High_School,Summary,Team,Year
Elias Harris,20,SR,F,6-7,240,,Friedrich-Magnus-Schwerd-Gymnasium,14.6 Pts 7.4 Reb 1.6 Ast,Gonzaga,2013
Kevin Pangos,4,SO,G,6-2,182,,Denison Secondary School,11.9 Pts 2.7 Reb 3.3 Ast,Gonzaga,2013
Gary Bell,5,SO,G,6-2,214,Kent WA,Kentridge,9.0 Pts 2.2 Reb 2.1 Ast,Gonzaga,2013
Sam Dower,35,JR,C,6-9,255,Brooklyn Park MN,Osseo,6.9 Pts 2.7 Reb 0.3 Ast,Gonzaga,2013
Przemek Karnowski,24,FR,C,7-1,288,Torun Poland,Nocolaus Copernicus HS,5.4 Pts 2.6 Reb 0.2 Ast,Gonzaga,2013
David Stockton,11,JR,G,5-11,165,Spokane WA,Gonzaga Prep,3.7 Pts 1.7 Reb 3.4 Ast,Gonzaga,2013
Kyle Dranginis,3,FR,G,6-5,202,Nampa ID,Skyview HS,2.9 Pts 1.5 Reb 1.0 Ast,Gonzaga,2013
Guy Edi,10,SR,F,6-6,218,,Sylmar,3.0 Pts 2.1 Reb 0.3 Ast,Gonzaga,2013
Drew Barham,43,JR,G,6-6,185,Memphis TN,Christian Brothers,3.2 Pts 1.4 Reb 0.4 Ast,Gonzaga,2013
Mike Hart,30,SR,G,6-6,206,Portland OR,Jesuit,2.0 Pts 3.9 Reb 1.1 Ast,Gonzaga,2013
Rem Bakamus,15,FR,G,6-0,167,Longview WA,Mark Morris HS,0.8 Pts 0.1 Reb 0.1 Ast,Gonzaga,2013
Brian Bhaskar,14,JR,G,6-2,185,Monterey CA,Stevenson,0.0 Pts 0.8 Reb 0.3 Ast,Gonzaga,2013
Wesley Saunders,23,SO,G,6-5,215,Los Angeles CA,Windward,16.2 Pts 4.2 Reb 3.5 Ast,Harvard,2013
Siyani Chambers,1,FR,G,6-0,170,Golden Valley MN,Hopkins,12.4 Pts 2.6 Reb 5.7 Ast,Harvard,2013
Laurent Rivard,0,JR,G,6-5,215,,Northfield Mount Hermon (MA),10.3 Pts 3.6 Reb 0.8 Ast,Harvard,2013
Christian Webster,15,SR,G,6-5,205,Washington DC,Landon School,8.4 Pts 2.9 Reb 1.6 Ast,Harvard,2013
Steve Moundou-Missi,14,SO,F,6-7,225,,Monteverde Academy (FL),7.9 Pts 5.1 Reb 0.5 Ast,Harvard,2013
Jonah Travis,24,SO,F,6-6,225,Minneapolis MN,De La Salle,6.2 Pts 3.1 Reb 0.5 Ast,Harvard,2013
Kenyatta Smith,25,SO,C,6-8,245,Sun Valley CA,Flintridge Prep,5.8 Pts 4.3 Reb 0.3 Ast,Harvard,2013
Agunwa Okolie,35,FR,G,6-8,205,Ajax Canada,Archbishop Denis O'Connor HS,1.6 Pts 1.1 Reb 0.3 Ast,Harvard,2013
Michael Hall,44,FR,F,6-10,205,Atlanta GA,Woodward Academy,1.0 Pts 0.7 Reb 0.1 Ast,Harvard,2013
Alex Nesbitt,2,SO,G,6-1,175,Chicago IL,University of Chicago Laboratory School,0.3 Pts 0.1 Reb 0.1 Ast,Harvard,2013
Evan Cummins,33,FR,F,6-9,215,Westborough MA,Northfield Mount Hermon HS,0.5 Pts 0.3 Reb 0.3 Ast,Harvard,2013
Jeff Georgatos,12,SR,F,6-7,210,Dallas TX,Episcopal School,0.0 Pts 0.0 Reb 0.0 Ast,Harvard,2013
Tom Hamel,34,JR,F,6-9,235,Methuen MA,Phillips Academy Andover,0.0 Pts 0.0 Reb 0.0 Ast,Harvard,2013
Brandon Paul,3,SR,G,6-4,200,Gurnee IL,Warren,16.6 Pts 4.4 Reb 2.7 Ast,Illinois ,2013
D.J. Richardson,1,SR,G,6-3,195,Peoria IL,Central,12.3 Pts 3.9 Reb 1.6 Ast,Illinois ,2013
Tracy Abrams,13,SO,G,6-2,185,Chicago IL,Mount Carmel HS,10.6 Pts 3.5 Reb 3.4 Ast,Illinois ,2013
Tyler Griffey,42,SR,F,6-9,220,Wildwood MO,Lafayette,7.2 Pts 3.5 Reb 0.6 Ast,Illinois ,2013
Joseph Bertrand,2,JR,G,6-6,200,Sterling IL,Sterling,7.3 Pts 4.1 Reb 0.6 Ast,Illinois ,2013
Nnanna Egwu,32,SO,F,6-11,250,Chicago IL,Saint Ignatius,6.5 Pts 4.9 Reb 0.5 Ast,Illinois ,2013
Sam McLaurin,0,SR,F,6-8,220,Havana FL,East Gadsden,3.8 Pts 3.4 Reb 0.4 Ast,Illinois ,2013
Myke Henry,20,SO,F,6-6,228,Chicago IL,Orr,3.2 Pts 2.1 Reb 0.1 Ast,Illinois ,2013
Mike LaTulip,10,FR,G,6-1,170,Arlington Heights IL,Prospect HS,1.2 Pts 0.1 Reb 0.0 Ast,Illinois ,2013
Mike Shaw,15,SO,F,6-8,230,Chicago IL,De La Salle,0.9 Pts 0.8 Reb 0.1 Ast,Illinois ,2013
Devin Langford,21,FR,G,6-7,200,Huntsville AL,Lee,0.5 Pts 0.8 Reb 0.2 Ast,Illinois ,2013
Kevin Berardini,31,JR,G,6-0,165,Lake Forest IL,Lake Forest,0.5 Pts 0.2 Reb 0.2 Ast,Illinois ,2013
Ibby Djimde,23,SO,C,6-8,255,Bamako Mali,Huntington Prep (WV),0.2 Pts 0.3 Reb 0.0 Ast,Illinois ,2013
Cody Zeller,40,SO,F,7-0,240,Washington IN,Washington,16.5 Pts 8.0 Reb 1.3 Ast,Indiana ,2013
Victor Oladipo,4,JR,G,6-5,214,Upper Marlboro MD,DeMatha,13.6 Pts 6.3 Reb 2.1 Ast,Indiana ,2013
Christian Watford,2,SR,F,6-9,232,Birmingham AL,Shades Valley,12.3 Pts 6.3 Reb 0.9 Ast,Indiana ,2013
Jordan Hulls,1,SR,G,6-0,182,Bloomington IN,South,9.7 Pts 2.4 Reb 2.9 Ast,Indiana ,2013
Will Sheehey,0,JR,F,6-7,200,Stuart FL,Sagemont,9.5 Pts 3.5 Reb 1.3 Ast,Indiana ,2013
Yogi Ferrell,11,FR,G,6-0,178,Indianapolis IN,Park Tudor HS,7.6 Pts 2.8 Reb 4.1 Ast,Indiana ,2013
Remy Abell,23,SO,G,6-4,195,Louisville KY,Eastern,4.0 Pts 1.5 Reb 0.9 Ast,Indiana ,2013
Jeremy Hollowell,33,FR,F,6-8,210,Indianapolis IN,Lawrence Central,2.8 Pts 2.1 Reb 0.3 Ast,Indiana ,2013
Maurice Creek,22,JR,G,6-5,195,Oxon Hill MD,Hargrave Military Academy,1.8 Pts 0.9 Reb 0.4 Ast,Indiana ,2013
Derek Elston,32,SR,F,6-9,216,Tipton IN,Tipton,1.1 Pts 0.8 Reb 0.2 Ast,Indiana ,2013
Hanner Mosquera-Perea,12,FR,F,6-9,225,Choco Colombia,La Lumiere School,0.9 Pts 1.5 Reb 0.1 Ast,Indiana ,2013
Austin Etherington,13,SO,F,6-6,215,Cicero IN,Hamilton Heights,1.9 Pts 1.7 Reb 0.4 Ast,Indiana ,2013
Jeff Howard,24,JR,F,6-8,225,Westfield IN,Westfield,0.3 Pts 0.7 Reb 0.1 Ast,Indiana ,2013
Raphael Smith,15,SO,G,6-3,172,South Bend IN,Riley,0.3 Pts 0.4 Reb 0.0 Ast,Indiana ,2013
Peter Jurkin,42,FR,C,7-0,230,Juba South Sudan,United Faith Christian Academy/Indiana,0.0 Pts 0.0 Reb 0.0 Ast,Indiana ,2013
Taylor Wayer,20,JR,G,5-10,187,Indianapolis IN,Bishop Chatard,0.0 Pts 0.1 Reb 0.0 Ast,Indiana ,2013
Will Clyburn,21,SR,G,6-7,210,Detroit MI,Romulus,14.9 Pts 6.8 Reb 2.1 Ast,Iowa St. ,2013
Tyrus McGee,25,SR,G,6-2,205,Stringtown OK,Stringtown/Cowley County C.C.,13.1 Pts 3.5 Reb 1.3 Ast,Iowa St. ,2013
Georges Niang,31,FR,F,6-8,230,Methuen MA,The Tilton School,12.1 Pts 4.6 Reb 1.8 Ast,Iowa St. ,2013
Melvin Ejim,3,JR,F,6-6,220,,Brewster Academy (NH),11.3 Pts 9.3 Reb 1.5 Ast,Iowa St. ,2013
Korie Lucious,13,SR,G,5-11,170,Milwaukee WI,St. Piua XI,10.1 Pts 1.9 Reb 5.6 Ast,Iowa St. ,2013
Chris Babb,2,SR,G,6-5,225,Arlington TX,The Oakridge School,9.1 Pts 3.4 Reb 2.2 Ast,Iowa St. ,2013
Percy Gibson,24,SO,C,6-9,260,Detroit MI,Southeastern,4.5 Pts 2.6 Reb 0.2 Ast,Iowa St. ,2013
Anthony Booker,22,SR,F,6-9,255,St. Louis MO,McCluer North,3.4 Pts 2.8 Reb 0.2 Ast,Iowa St. ,2013
Bubu Palo,1,JR,G,6-1,180,Ames IA,Ames,2.8 Pts 1.4 Reb 1.4 Ast,Iowa St. ,2013
Nazareth Mitrou-Long,15,FR,G,6-4,210,Mississauga Canada,St. Martin HS,1.4 Pts 0.8 Reb 1.0 Ast,Iowa St. ,2013
Kerwin Okoro,11,FR,G,6-5,220,Bronx NY,St. Raymond,1.0 Pts 0.1 Reb 0.0 Ast,Iowa St. ,2013
Aaron Law,10,FR,G,6-0,180,Chapel Hill NC,East/The Tilton School (NH),0.8 Pts 0.2 Reb 0.2 Ast,Iowa St. ,2013
Tyler Ellerman,33,JR,F,6-8,240,Dallas Center IA,Brewster Academy (NH),0.3 Pts 0.6 Reb 0.0 Ast,Iowa St. ,2013
Austin McBeth,12,SR,G,6-1,175,Wayland IA,Waco,0.0 Pts 0.2 Reb 0.0 Ast,Iowa St. ,2013
Will Clyburn,21,SR,G,6-7,210,Detroit MI,Romulus,14.9 Pts 6.8 Reb 2.1 Ast,Iona,2013
Tyrus McGee,25,SR,G,6-2,205,Stringtown OK,Stringtown/Cowley County C.C.,13.1 Pts 3.5 Reb 1.3 Ast,Iona,2013
Georges Niang,31,FR,F,6-8,230,Methuen MA,The Tilton School,12.1 Pts 4.6 Reb 1.8 Ast,Iona,2013
Melvin Ejim,3,JR,F,6-6,220,,Brewster Academy (NH),11.3 Pts 9.3 Reb 1.5 Ast,Iona,2013
Korie Lucious,13,SR,G,5-11,170,Milwaukee WI,St. Piua XI,10.1 Pts 1.9 Reb 5.6 Ast,Iona,2013
Chris Babb,2,SR,G,6-5,225,Arlington TX,The Oakridge School,9.1 Pts 3.4 Reb 2.2 Ast,Iona,2013
Percy Gibson,24,SO,C,6-9,260,Detroit MI,Southeastern,4.5 Pts 2.6 Reb 0.2 Ast,Iona,2013
Anthony Booker,22,SR,F,6-9,255,St. Louis MO,McCluer North,3.4 Pts 2.8 Reb 0.2 Ast,Iona,2013
Bubu Palo,1,JR,G,6-1,180,Ames IA,Ames,2.8 Pts 1.4 Reb 1.4 Ast,Iona,2013
Nazareth Mitrou-Long,15,FR,G,6-4,210,Mississauga Canada,St. Martin HS,1.4 Pts 0.8 Reb 1.0 Ast,Iona,2013
Kerwin Okoro,11,FR,G,6-5,220,Bronx NY,St. Raymond,1.0 Pts 0.1 Reb 0.0 Ast,Iona,2013
Aaron Law,10,FR,G,6-0,180,Chapel Hill NC,East/The Tilton School (NH),0.8 Pts 0.2 Reb 0.2 Ast,Iona,2013
Tyler Ellerman,33,JR,F,6-8,240,Dallas Center IA,Brewster Academy (NH),0.3 Pts 0.6 Reb 0.0 Ast,Iona,2013
Austin McBeth,12,SR,G,6-1,175,Wayland IA,Waco,0.0 Pts 0.2 Reb 0.0 Ast,Iona,2013
Mark Freeman,0,SR,G,5-10,160,Memphis TN,Southwind (TN),15.8 Pts 2.5 Reb 3.1 Ast,James Madison,2013
Bryce Lindsay,2,SO,G,6-3,190,Baltimore MD,St. Frances (MD); IMG Academy (FL),13.4 Pts 2.8 Reb 2.2 Ast,James Madison,2013
Elijah Hutchins-Everett,4,SR,C,6-11,270,Orange NJ,Putnam Science Academy (CT),11.4 Pts 5.9 Reb 0.8 Ast,James Madison,2013
Xavier Brown,1,JR,G,6-2,170,Williamsburg VA,Jamestown (VA),10.7 Pts 3.3 Reb 2.7 Ast,James Madison,2013
AJ Smith,21,JR,G,6-6,215,Edwardsville IL,Metro East Lutheran (IL),7.3 Pts 6.3 Reb 0.9 Ast,James Madison,2013
Eddie Ricks,3,SO,F,6-7,205,Clarksville TN,Clarksville Academy (TN),6.7 Pts 4.7 Reb 0.9 Ast,James Madison,2013
Noah Williams,13,SR,G,6-5,187,Seattle WA,O'Dea HS,2.8 Pts 2.0 Reb 0.4 Ast,James Madison,2013
Luke Anderson,44,SR,F,6-8,202,Lakeland FL,Lakeland (FL),4.5 Pts 2.5 Reb 0.2 Ast,James Madison,2013
Ebenezer Dowuona,10,SR,F,6-11,235,Accra Ghana,The Heritage School,2.0 Pts 2.3 Reb 0.2 Ast,James Madison,2013
Justin Taylor,5,JR,G,6-6,205,Charlottesville VA,St. Anne's-Belfield (VA); IMG Academy (FL),1.8 Pts 1.7 Reb 0.6 Ast,James Madison,2013
Will Lovings-Watts,8,SO,G,6-5,200,Jeffersonville IN,Jeffersonville (IN); Putnam Science Academy (CT),2.0 Pts 1.0 Reb 0.2 Ast,James Madison,2013
Redd Thompson,24,FR,G,6-0,183,Richmond VA,John Marshall (VA),1.3 Pts 0.4 Reb 0.3 Ast,James Madison,2013
Jarrell Pope,20,SR,G,5-9,185,Virginia Beach VA,Princess Anne (VA),0.6 Pts 0.4 Reb 0.0 Ast,James Madison,2013
Shane Feden,35,JR,F,6-6,170,Woodbridge VA,Woodbridge HS,0.5 Pts 0.5 Reb 0.0 Ast,James Madison,2013
Aidan Mckeon,30,SO,G,6-3,195,Henrico VA,Freeman (VA),0.4 Pts 0.4 Reb 0.0 Ast,James Madison,2013
Matt Hain,7,SO,F,6-7,215,Perth Australia,Shenton College (Australia),0.0 Pts 0.2 Reb 0.0 Ast,James Madison,2013
Jerrell Roberson,33,SR,F,6-9,,,,,James Madison,2013
Ben McLemore,23,FR,G,6-5,195,St. Louis MO,Christian Life Center (TX),15.9 Pts 5.2 Reb 2.0 Ast,Kansas,2013
Jeff Withey,5,SR,C,7-0,235,San Diego CA,Horizon,13.7 Pts 8.5 Reb 0.9 Ast,Kansas,2013
Travis Releford,24,SR,G,6-6,210,Kansas City MO,Bishop Miege,11.9 Pts 3.8 Reb 2.6 Ast,Kansas,2013
Elijah Johnson,15,SR,G,6-4,195,Las Vegas NV,Cheyenne,9.9 Pts 3.1 Reb 4.6 Ast,Kansas,2013
Kevin Young,40,SR,F,6-8,190,Perris CA,,7.8 Pts 6.8 Reb 1.2 Ast,Kansas,2013
Perry Ellis,34,FR,F,6-8,225,Wichita KS,Wichita Heights HS,5.8 Pts 3.9 Reb 0.6 Ast,Kansas,2013
Naadir Tharpe,1,SO,G,5-11,170,Worcester MA,Brewster Academy (NH),5.5 Pts 1.5 Reb 3.1 Ast,Kansas,2013
Jamari Traylor,31,FR,F,6-8,220,Chicago IL,IMG Academy,2.1 Pts 2.1 Reb 0.3 Ast,Kansas,2013
Andrew White,3,FR,G,6-7,220,Richmond VA,The Miller School of Albemarle,2.2 Pts 1.2 Reb 0.0 Ast,Kansas,2013
Rio Adams,2,FR,G,6-3,190,Seattle WA,Rainier Beach,1.1 Pts 0.3 Reb 0.3 Ast,Kansas,2013
Evan Manning,10,FR,G,6-3,170,Lawrence KS,Free State,0.7 Pts 0.4 Reb 0.1 Ast,Kansas,2013
Justin Wesley,4,JR,F,6-9,220,Fort Worth TX,North Crowley,0.4 Pts 1.1 Reb 0.2 Ast,Kansas,2013
Niko Roberts,20,JR,G,5-11,175,Huntington NY,Saint Anthony's,0.3 Pts 0.3 Reb 0.2 Ast,Kansas,2013
Tyler Self,11,FR,G,6-2,165,Lawrence KS,Free State HS,0.4 Pts 0.2 Reb 0.2 Ast,Kansas,2013
Christian Garrett,21,SO,G,6-3,185,Los Angeles CA,IMG Academy,0.0 Pts 0.3 Reb 0.1 Ast,Kansas,2013
David N'Guessan,1,SR,F,6-9,205,De Lier Netherlands,Mt. Zion Prep,13.3 Pts 7.2 Reb 1.4 Ast,Kansas St. ,2013
Dug McDaniel,0,JR,G,5-11,160,Washington DC,St. Paul VI Catholic (VA),11.4 Pts 2.8 Reb 4.9 Ast,Kansas St. ,2013
Brendan Hausen,11,JR,G,6-4,205,Amarillo TX,Amarillo (TX),10.9 Pts 2.5 Reb 0.8 Ast,Kansas St. ,2013
Max Jones,2,SR,G,6-5,206,Clearwater FL,Clearwater (FL),9.9 Pts 4.1 Reb 1.8 Ast,Kansas St. ,2013
Coleman Hawkins,33,SR,F,6-10,200,Sacramento CA,Prolific Prep,10.7 Pts 6.9 Reb 4.3 Ast,Kansas St. ,2013
Christian Jones,3,JR,G,6-5,185,East St. Louis IL,East St. Louis (IL),5.7 Pts 1.7 Reb 1.5 Ast,Kansas St. ,2013
David Castillo,10,FR,G,6-1,180,Bartlesville OK,Sunrise Christian (KS),2.4 Pts 0.6 Reb 0.8 Ast,Kansas St. ,2013
Macaleab Rich,23,SO,F,6-7,240,East St. Louis IL,East St. Louis (IL),5.9 Pts 2.2 Reb 0.2 Ast,Kansas St. ,2013
Ugonna Onyenso,34,JR,F,6-11,225,Oweri Nigeria,NBA Academy Africa; Putnam Science (CT),2.8 Pts 2.4 Reb 0.1 Ast,Kansas St. ,2013
Achor Achor,14,SR,F,6-9,222,Melbourne Australia,Greenforest McCalep (GA),7.3 Pts 2.7 Reb 0.7 Ast,Kansas St. ,2013
Mobi Ikegwuruka,4,SO,G,6-6,215,Galway Republic of Ireland,St Mary's College Galway (Republic of Ireland),2.1 Pts 2.4 Reb 0.1 Ast,Kansas St. ,2013
Baye Fall,21,SO,F,6-10,200,Dakar Senegal,Accelerated Schools (CO),2.5 Pts 1.5 Reb 0.0 Ast,Kansas St. ,2013
Taj Manning,15,SO,F,6-7,220,Grandview MO,Grandview (MO); La Lumiere (IN),0.8 Pts 0.8 Reb 0.0 Ast,Kansas St. ,2013
Spencer Bain,5,SR,G,6-2,175,Overland Park KS,Blue Valley West (KS),0.0 Pts 0.2 Reb 0.0 Ast,Kansas St. ,2013
Ramon Galloway,55,SR,G,6-3,180,Philadelphia PA,William T. Dwyer (FL),17.2 Pts 4.6 Reb 3.7 Ast,La Salle ,2013
Tyreek Duren,3,JR,G,6-0,190,Philadelphia PA,Neumann-Goretti,14.2 Pts 2.9 Reb 3.3 Ast,La Salle ,2013
Jerrell Wright,25,SO,F,6-8,255,Philadelphia PA,Dobbins Tech,10.8 Pts 6.7 Reb 0.8 Ast,La Salle ,2013
Tyrone Garland,21,JR,G,6-1,185,Philadelphia PA,John Bartram,13.1 Pts 2.1 Reb 2.0 Ast,La Salle ,2013
Sam Mills,10,JR,G,6-2,200,Sunrise FL,Cardinal Gibbons,8.0 Pts 2.6 Reb 2.2 Ast,La Salle ,2013
Steve Zack,0,SO,C,6-11,245,New Cumberland PA,Red Land,6.4 Pts 6.4 Reb 1.0 Ast,La Salle ,2013
D.J. Peterson,1,SO,G,6-6,195,Burnsville MN,Lee Academy (ME),3.9 Pts 2.4 Reb 1.5 Ast,La Salle ,2013
Rohan Brown,35,FR,G,6-6,210,Hartford CT,East Catholic HS,1.6 Pts 1.5 Reb 0.0 Ast,La Salle ,2013
Taylor Dunn,5,JR,G,6-2,205,State College PA,Morgantown (WV),1.0 Pts 0.7 Reb 0.2 Ast,La Salle ,2013
O.J. Lewis,11,FR,G,6-0,175,Mitchellville MD,Riverdale Baptist HS,1.7 Pts 0.3 Reb 0.0 Ast,La Salle ,2013
Garvin Hunt,13,SR,C,6-10,235,,Upper Sagemont School (FL),0.3 Pts 0.7 Reb 0.2 Ast,La Salle ,2013
John Caleb Sanders,33,JR,G,6-0,180,Sugar Land TX,HCYA (Home School),14.4 Pts 3.9 Reb 3.6 Ast,Liberty,2013
Davon Marshall,1,JR,G,5-11,170,Niagara Falls NY,Niagara Falls,13.6 Pts 2.1 Reb 2.8 Ast,Liberty,2013
Tavares Speaks,22,SR,G,6-4,185,Raleigh NC,Green Hope,13.2 Pts 3.4 Reb 1.2 Ast,Liberty,2013
Tomasz Gielo,12,SO,F,6-9,220,Szczecin Poland,SMS Cetniewo Sports Academy,7.3 Pts 4.5 Reb 1.0 Ast,Liberty,2013
Casey Roberts,3,JR,G,6-3,190,LaVale MD,Allegany,5.4 Pts 1.7 Reb 0.9 Ast,Liberty,2013
JR Coronado,32,JR,F,6-8,245,,Central Park Christian,4.9 Pts 8.2 Reb 0.6 Ast,Liberty,2013
Andrew Smith,11,SO,F,6-9,220,Pompano Beach FL,Highlands Christian,3.5 Pts 3.1 Reb 0.6 Ast,Liberty,2013
Joel Vander Pol,21,JR,C,6-10,230,Fort Myers FL,Evangelical Christian,4.5 Pts 4.8 Reb 0.3 Ast,Liberty,2013
Chad Donley,10,SO,G,6-2,170,Baker FL,Baker School,2.8 Pts 0.7 Reb 0.6 Ast,Liberty,2013
Sommy Ogukwe,42,SO,F,6-7,230,,Bethel Christian Academy,1.1 Pts 1.7 Reb 0.2 Ast,Liberty,2013
Jarred Jourdan,0,SO,G,6-5,215,Oakland CA,James Hogan,4.5 Pts 1.8 Reb 1.2 Ast,Liberty,2013
Larry Taylor,13,FR,G,,170,Englewood FL,North Port,0.4 Pts 0.3 Reb 0.4 Ast,Liberty,2013
Kelly Assibesi,5,SO,G,6-0,170,Simpsonville SC,St. Joseph's Catholic,0.9 Pts 0.4 Reb 1.3 Ast,Liberty,2013
Wesley Alcegaire,4,FR,G,6-5,185,Miami FL,Archbishop Curley Notre Dame,0.0 Pts 0.0 Reb 0.0 Ast,Liberty,2013
Jamal Olasewere,1,SR,F,6-7,210,Silver Spring MD,Springbrook,18.9 Pts 8.6 Reb 1.3 Ast,LIU Brooklyn ,2013
C.J. Garner,3,SR,G,5-10,160,Silver Spring MD,Springbrook,16.1 Pts 4.1 Reb 2.5 Ast,LIU Brooklyn ,2013
Jason Brickman,15,JR,G,6-0,165,San Antonio TX,Clark,9.5 Pts 2.6 Reb 8.5 Ast,LIU Brooklyn ,2013
Brandon Thompson,11,SR,G,6-0,185,San Antonio TX,,8.1 Pts 3.1 Reb 1.3 Ast,LIU Brooklyn ,2013
E.J. Reed,33,FR,F,6-6,200,Mesquite TX,Mesquite,7.7 Pts 4.0 Reb 0.1 Ast,LIU Brooklyn ,2013
Booker Hucks,20,SR,F,6-6,210,Bay Shore NY,Bay Shore,5.6 Pts 2.2 Reb 0.2 Ast,LIU Brooklyn ,2013
Julian Boyd,42,SR,F,6-7,230,San Antonio TX,William H. Taft,18.5 Pts 6.1 Reb 1.1 Ast,LIU Brooklyn ,2013
Kenny Onyechi,32,SR,F,6-7,230,Sugar Land TX,Kempner,4.3 Pts 2.6 Reb 0.3 Ast,LIU Brooklyn ,2013
Gerrell Martin,4,SO,G,6-3,185,Bronx NY,Wings Academy,3.7 Pts 1.6 Reb 0.4 Ast,LIU Brooklyn ,2013
Troy Joseph,5,SO,G,6-6,200,,Pickering,3.2 Pts 2.0 Reb 0.3 Ast,LIU Brooklyn ,2013
Khalil Murphy,34,SO,F,6-8,235,Willingboro NJ,Fishburne Military School,1.5 Pts 1.8 Reb 0.1 Ast,LIU Brooklyn ,2013
D.J. Griggs,0,FR,G,6-0,170,Lake Jackson TX,Brazosport,1.2 Pts 0.7 Reb 0.4 Ast,LIU Brooklyn ,2013
Russ Smith,2,JR,G,6-0,165,Brooklyn NY,South Kent,18.7 Pts 3.3 Reb 2.9 Ast,Louisville ,2013
Peyton Siva,3,SR,G,6-0,185,Seattle WA,Franklin,10.0 Pts 2.4 Reb 5.7 Ast,Louisville ,2013
Chane Behanan,21,SO,F,6-6,250,Cincinnati OH,Bowling Green,9.8 Pts 6.5 Reb 1.1 Ast,Louisville ,2013
Luke Hancock,11,JR,F,6-6,200,Roanoke VA,Hidden Valley/Hargrave Military Academy,8.1 Pts 2.6 Reb 1.4 Ast,Louisville ,2013
Gorgui Dieng,10,JR,C,6-11,245,,Covenant/Huntington Prep,9.8 Pts 9.4 Reb 2.0 Ast,Louisville ,2013
Wayne Blackshear,20,SO,G,6-5,215,Chicago IL,Morgan Park,7.6 Pts 3.1 Reb 0.6 Ast,Louisville ,2013
Montrezl Harrell,24,FR,F,6-8,235,Tarboro NC,Hargrave Military Academy,5.7 Pts 3.6 Reb 0.2 Ast,Louisville ,2013
Kevin Ware,5,SO,G,6-2,170,Conyers GA,Rockdale County,4.5 Pts 1.8 Reb 0.8 Ast,Louisville ,2013
Stephan Van Treese,44,JR,F,6-9,245,Indianapolis IN,Lawrence North,1.7 Pts 3.1 Reb 0.2 Ast,Louisville ,2013
Tim Henderson,15,JR,G,6-2,195,Louisville KY,Christian Academy,0.8 Pts 0.4 Reb 0.1 Ast,Louisville ,2013
Zach Price,25,SO,C,6-10,250,Louisville KY,Jeffersontown,1.3 Pts 1.4 Reb 0.0 Ast,Louisville ,2013
Michael Baffour,32,JR,G,6-2,170,Lexington KY,Bryan Station,0.3 Pts 0.2 Reb 0.0 Ast,Louisville ,2013
Logan Baumann,14,FR,G,6-0,165,Hartford KY,Ohio County,0.5 Pts 0.8 Reb 0.0 Ast,Louisville ,2013
Jordan Bond,22,FR,G,6-0,165,Raleigh NC,Ravenscroft/Hargrave Military Academy,0.0 Pts 0.6 Reb 0.2 Ast,Louisville ,2013
Vander Blue,13,JR,G,6-4,200,Madison WI,Memorial,14.8 Pts 3.2 Reb 1.8 Ast,Marquette,2013
Davante Gardner,54,JR,F,6-8,290,Suffolk VA,King's Fork,11.5 Pts 4.8 Reb 0.9 Ast,Marquette,2013
Jamil Wilson,0,JR,F,6-7,230,Racine WI,Horlick,9.7 Pts 4.9 Reb 1.7 Ast,Marquette,2013
Junior Cadougan,5,SR,G,6-1,205,,Christian Life Center Academy (TX),8.5 Pts 2.9 Reb 3.8 Ast,Marquette,2013
Trent Lockett,22,SR,G,6-5,210,Golden Valley MN,Hopkins,7.0 Pts 5.1 Reb 1.8 Ast,Marquette,2013
Chris Otule,42,JR,C,6-11,275,Richmond TX,Ft. Bend Bush,5.1 Pts 3.5 Reb 0.2 Ast,Marquette,2013
Todd Mayo,4,SO,G,6-3,195,Huntington WV,Notre Dame Prep,5.3 Pts 1.2 Reb 0.7 Ast,Marquette,2013
Steve Taylor,25,FR,F,6-7,240,Chicago IL,Simeon,3.0 Pts 2.1 Reb 0.2 Ast,Marquette,2013
Juan Anderson,10,SO,F,6-6,215,Oakland CA,Castro Valley,2.7 Pts 2.9 Reb 0.9 Ast,Marquette,2013
Jake Thomas,23,JR,G,6-3,205,Racine WI,St. Catherine's,1.8 Pts 1.0 Reb 0.6 Ast,Marquette,2013
Derrick Wilson,12,SO,G,6-1,210,Anchorage AK,The Hotchkiss School (CT),1.1 Pts 0.9 Reb 1.6 Ast,Marquette,2013
Jamal Ferguson,1,FR,G,6-5,180,Norfolk VA,Maury,1.1 Pts 0.6 Reb 0.3 Ast,Marquette,2013
Dylan Flood,30,SO,G,6-4,200,Lemont IL,Benet Academy,0.0 Pts 0.0 Reb 0.0 Ast,Marquette,2013
Joe Jackson,1,JR,G,6-1,174,Memphis TN,White Station,13.6 Pts 3.3 Reb 4.8 Ast,Memphis,2013
Adonis Thomas,35,SO,F,6-7,240,Memphis TN,Melrose,11.7 Pts 4.5 Reb 1.9 Ast,Memphis,2013
Chris Crawford,3,JR,G,6-4,222,Memphis TN,Sheffield,10.4 Pts 3.8 Reb 3.2 Ast,Memphis,2013
Geron Johnson,55,JR,G,6-3,197,Dayton OH,Dunbar,10.4 Pts 4.6 Reb 3.5 Ast,Memphis,2013
D.J. Stephens,30,SR,F,6-5,188,Killeen TX,Harker Heights,7.6 Pts 6.6 Reb 0.7 Ast,Memphis,2013
