"","TEAM","CONF","G","RECORD","W","L","WINPCT","ADJOE","ADJDE","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","POSTSEASON","SEED","YEAR"
"539","Virginia","ACC",24,"18 - 6",18,6,0.75,114.6,93.9,56.1,47.9,15.4,15.2,23.1,22.6,22,24.6,55.3,46.1,38.1,34,59.9,3.4,"First Round",4,2021
"540","Virginia Tech","ACC",21,"15 - 6",15,6,0.714,109.3,94.5,52.5,48.4,17.3,17.6,28.4,24.3,33.2,30.9,51.7,47.6,35.7,33,66.5,0.9,"First Round",10,2021
"541","West Virginia","B12",27,"18 - 9",18,9,0.667,115.9,95.3,48.7,50.2,17,20.7,35.6,31.3,39.4,28.5,46.4,51.3,35.7,32.3,69.6,3,"Second Round",3,2021
"542","Wichita St.","Amer",19,"16 - 3",16,3,0.842,109.6,98.1,47.6,47.1,15.9,18.1,29.8,33.4,38.2,29.7,44.7,47.6,34.5,30.8,67.5,1.3,"First Four",11,2021
"543","Winthrop","BSth",24,"23 - 1",23,1,0.958,104.2,96.9,53,49,19.5,22.5,35.6,22.2,35.7,33.8,53,49.2,35.3,32.4,73.8,0.9,"First Round",12,2021
"544","Wisconsin","B10",29,"17 - 12",17,12,0.586,111.3,90.4,49.4,47.9,13.5,17.8,23.7,25.1,26.9,28.5,46.3,47.1,36,33,65,2.2,"Second Round",9,2021
"545","Akron","MAC",32,"24 - 8",24,8,0.75,105.5,101.7,52.5,49.1,17.7,17.5,29,26.4,39.3,26.1,52.2,47.4,35.3,34.8,61.9,-4.3,"First Round",13,2022
"546","Alabama","SEC",33,"19 - 14",19,14,0.576,115.2,98.3,51.3,49.8,19.8,17.9,35.3,30.5,32.9,34.8,55.9,49.3,30.9,33.8,71.8,2,"First Round",6,2022
"547","Arizona","P12",37,"33 - 4",33,4,0.892,118,93.7,55.6,44.4,18.3,17.4,34.7,28.6,34.9,24,57,41.8,35.3,32.8,72.3,8.8,"Sweet Sixteen",1,2022
"548","Arkansas","SEC",37,"28 - 9",28,9,0.757,108.7,90.7,48.6,47.5,16.9,20.5,29.6,25.3,37.2,31.9,50.1,46.8,30.4,32.4,70.6,4.5,"Elite Eight",4,2022
"549","Auburn","SEC",34,"28 - 6",28,6,0.824,111.7,90,49.9,44.1,16.7,20,33.7,28.9,31.6,34.2,51.3,42.8,31.8,31,70,7.4,"Second Round",2,2022
"550","Baylor","B12",34,"27 - 7",27,7,0.794,117.8,91.3,52.8,47.8,17.9,22.9,36.3,28.8,29,27.7,53.6,49.2,34.3,30.2,67.6,8.9,"Second Round",1,2022
"551","Boise St.","MWC",34,"27 - 7",27,7,0.794,107.6,92.9,50.7,48.3,18.4,20.2,30.6,22.4,35.2,25.9,50.6,48,34,32.6,64.5,3.5,"First Round",8,2022
"552","Bryant","NEC",31,"22 - 9",22,9,0.71,102.9,104.1,49.6,47.6,19,16.6,32.8,31.7,32.7,25.2,52.8,47,30.3,32.5,72.3,-4.8,"First Four",16,2022
"553","Cal St. Fullerton","BW",30,"21 - 9",21,9,0.7,102,103.1,48.9,51.1,17.9,20.2,29.1,28.2,34.8,25.7,48.4,48.4,33.4,37.3,66,-5,"First Round",15,2022
"554","Chattanooga","SC",33,"27 - 6",27,6,0.818,107.3,97.3,52.2,49.4,17,18.1,32.7,26.2,26.8,27.8,53,52.1,33.9,30.3,64.6,0.2,"First Round",13,2022
"555","Colgate","Pat",34,"23 - 11",23,11,0.676,107,103.2,55.6,48.9,16.9,16,26.6,25.1,26.3,24.1,52.1,48,40.4,33.7,67,-6.1,"First Round",14,2022
"556","Colorado St.","MWC",30,"25 - 5",25,5,0.833,111.9,98.1,54.8,50.1,15.2,18.5,21.9,25,29.6,25.6,55.7,51,35.6,32.7,65.6,4.3,"First Round",6,2022
"557","Connecticut","BE",33,"23 - 10",23,10,0.697,113.2,95.9,49.6,46,17.3,18,37.9,27.6,30.5,31.7,48,42.6,35.2,35.3,65,3.1,"First Round",5,2022
"558","Creighton","BE",35,"23 - 12",23,12,0.657,104.8,92.1,50.6,44.9,20.4,15.5,28.4,28.5,26.7,20.8,53.3,43.6,30.8,31.7,67,1.7,"Second Round",9,2022
"559","Davidson","A10",33,"27 - 6",27,6,0.818,115.8,101.1,55.6,49.5,14.8,16.7,23.6,22.4,32.5,28,54.2,48.9,38.5,33.6,64.6,2.1,"First Round",10,2022
"560","Delaware","CAA",34,"22 - 12",22,12,0.647,106.5,103.2,53.4,49.6,18.3,18.5,26.7,31.3,34.5,29.1,54.4,47.7,34.5,35.4,66.6,-5.5,"First Round",15,2022
"561","Duke","ACC",39,"32 - 7",32,7,0.821,122.7,96,55.6,47.1,15,15.7,31.7,28.9,28.6,19.1,56,46.6,36.6,32,67.4,7.2,"Final Four",2,2022
"562","Georgia St.","SB",26,"18 - 8",18,8,0.692,101.9,98.4,44.7,50,16.6,22.1,32.5,31,30.4,33.2,42.5,46.2,32.4,37.5,67.3,-5.1,"First Round",16,2022
"563","Gonzaga","WCC",32,"28 - 4",28,4,0.875,120.3,89.9,58.7,43.1,15.7,16.3,29.1,23.4,30.6,22.7,60.4,41.8,37,30.5,72.6,6.7,"Sweet Sixteen",1,2022
"564","Houston","Amer",38,"32 - 6",32,6,0.842,116.5,88.5,53.1,43.3,16.9,21.7,37.7,28,29,34.7,54.5,43.4,33.8,28.8,63.7,6.2,"Elite Eight",5,2022
"565","Illinois","B10",33,"23 - 10",23,10,0.697,111.9,93,52.5,46,18.1,15.5,33.1,26.6,32,28.2,51.4,45.2,35.9,31.9,67.1,4.2,"Second Round",4,2022
"566","Indiana","B10",35,"21 - 14",21,14,0.6,107.7,91.6,50.6,46.2,17.2,17.6,27,25.1,33.5,30.7,50.9,43.9,33.3,33,67.2,0.2,"First Round",12,2022
"567","Iowa","B10",36,"26 - 10",26,10,0.722,121.1,97.2,53.3,49.7,13,19.2,32.3,30,30,26.3,52.5,49.9,36.3,32.9,69.8,4.5,"First Round",5,2022
"568","Iowa St.","B12",35,"22 - 13",22,13,0.629,101.7,88.4,49.1,47.9,20.4,24.6,28.4,28.3,27.1,36.7,50.1,50.8,31.5,28.9,66.3,2.8,"Sweet Sixteen",11,2022
"569","Jacksonville St.","ASun",30,"21 - 9",21,9,0.7,104.5,102.2,53.6,48.1,19.7,17.1,28.2,27,32.1,21.6,51,47.5,38,32.7,65.1,-5.2,"First Round",15,2022
"570","Kansas","B12",40,"34 - 6",34,6,0.85,119.8,91.3,53.8,45.8,17.3,18.1,32.9,28.6,32.3,27.7,53.6,46.4,36.1,29.8,69.1,10.4,"Champion",1,2022
"571","Kentucky","SEC",34,"26 - 8",26,8,0.765,119.4,95.4,53.1,46.9,16.7,17.5,37.7,24.9,28,25.4,53.5,47.3,34.7,30.8,67.8,6.9,"First Round",2,2022
"572","LSU","SEC",34,"22 - 12",22,12,0.647,106.3,89.6,49.4,45.1,20.7,25.1,33.8,30.9,33.4,37.8,50.4,47.6,31.6,28.2,68.7,2.3,"First Round",6,2022
"573","Longwood","BSth",29,"26 - 3",26,3,0.897,105.7,103.7,51.5,51.4,18.4,20,33.2,24.5,35.4,26.5,47.9,53.9,38.4,32.1,65.8,-2.3,"First Round",14,2022
"574","Loyola Chicago","MVC",32,"25 - 7",25,7,0.781,106.9,92.3,55.6,46.9,18.5,20.1,25.1,24,31.5,28.9,54.9,47.3,37.6,30.9,64.6,1.8,"First Round",10,2022
"575","Marquette","BE",32,"19 - 13",19,13,0.594,107.7,96.5,52.1,47,17.2,18.9,22.5,31.6,26.2,29.5,52.6,46.4,34.4,32,71.2,0.6,"First Round",9,2022
"576","Memphis","Amer",33,"22 - 11",22,11,0.667,112.4,92.6,52.3,46.6,22.5,20.4,37.4,30.9,37.8,33.2,51.9,45.5,35.5,32,70,1.4,"Second Round",9,2022
"577","Miami FL","ACC",37,"26 - 11",26,11,0.703,113.6,97.9,53.4,52.5,14,20.4,22.4,30.3,28.9,24.8,54.8,53,33.9,34.5,67.7,2.6,"Elite Eight",10,2022
"578","Michigan","B10",34,"19 - 15",19,15,0.559,113.9,96.2,52.1,49.7,17.3,14.7,31,24,29.4,25.6,52.7,50.4,33.9,32.4,66.4,0.2,"Sweet Sixteen",11,2022
"579","Michigan St.","B10",36,"23 - 13",23,13,0.639,111.6,96.6,52,48.1,18.8,15.3,30.7,27.1,29.9,28.3,49.6,48.5,37.8,31.6,67.6,2.9,"Second Round",7,2022
"580","Montana St.","BSky",33,"27 - 6",27,6,0.818,103.6,102.5,53.9,49.4,18.7,18.2,26.7,23.5,40.1,36.1,52.9,48.9,37,33.6,67.1,-2.8,"First Round",14,2022
"581","Murray St.","OVC",31,"31 - 0",31,0,1,110,96.2,52.6,48.1,17.1,20.4,35.3,25.7,32.4,26,53.2,50.5,34.5,29.7,66,3.5,"Second Round",7,2022
"582","New Mexico St.","WAC",31,"27 - 4",27,4,0.871,106,96,51.9,45.2,20.8,16.8,32.6,25.7,34.6,28.3,53.2,45.6,33.4,29.8,66.1,0.7,"Second Round",12,2022
"583","Norfolk St.","MEAC",28,"24 - 4",24,4,0.857,100.7,103,50.9,45.8,20.1,18.4,30.1,27.8,38.3,33.5,50.8,47.1,34,29.5,67,-3.1,"First Round",16,2022
"584","North Carolina","ACC",39,"29 - 10",29,10,0.744,114.4,93.5,51.5,48.6,16.4,13.6,31.9,21.6,30.3,21.4,50.1,47.5,35.8,33.7,70.1,4.3,"Runner-up",8,2022
"585","Notre Dame","ACC",34,"24 - 10",24,10,0.706,112.8,96.7,54,49,15.6,15.1,22.1,24.7,27.3,22.2,51.9,49.6,37.9,32,65.4,1.9,"Second Round",11,2022
"586","Ohio St.","B10",32,"20 - 12",20,12,0.625,115.5,98.5,54.3,47.6,17.1,15.5,29.3,28.7,33.4,29.1,54,45.8,36.5,33.8,65.1,1.3,"Second Round",7,2022
"587","Providence","BE",33,"27 - 6",27,6,0.818,111.4,95.5,50,46.3,17,15.6,30.3,27.4,37,27,49,47.1,34.4,30,65.3,5.9,"Sweet Sixteen",4,2022
"588","Purdue","B10",37,"29 - 8",29,8,0.784,121.6,97.5,56.5,49.1,17.5,14,35.2,23.8,38.2,21.6,55.8,48.6,38.4,33.2,66,7,"Sweet Sixteen",3,2022
"589","Richmond","A10",37,"24 - 13",24,13,0.649,106.9,99.1,51.1,50.5,14.3,18.8,22.4,27.5,31,23.4,52.3,49.9,33,34.3,66.7,-1.6,"Second Round",12,2022
"590","Rutgers","B10",32,"18 - 14",18,14,0.562,106.6,96.3,49.9,48.6,17.3,17.8,29.6,27,26.2,28.6,49.4,47.1,33.9,33.9,65,-0.7,"First Four",11,2022
"591","Saint Mary's","WCC",33,"26 - 7",26,7,0.788,109.8,90.5,52.7,48.3,17,19.2,27.4,21.7,23.3,25.1,52.5,47,35.5,34.3,63.7,3.9,"Second Round",5,2022
"592","Saint Peter's","MAAC",33,"22 - 11",22,11,0.667,99.4,93.1,47.5,44.2,20.1,20.5,30.9,29,37.4,41.2,45.6,44.5,34.6,29.2,65.6,-5.6,"Elite Eight",15,2022
"593","San Diego St.","MWC",32,"23 - 9",23,9,0.719,102.4,86.9,48.7,44.1,19.3,21.9,29.5,27.3,31.1,31,46.7,43.5,35.4,30,65.3,2.6,"First Round",8,2022
"594","San Francisco","WCC",33,"24 - 9",24,9,0.727,110.2,93,53.1,47.1,17.9,18.4,30,24,28.5,33,54.4,48.7,34.3,28.9,69,1.6,"First Round",10,2022
"595","Seton Hall","BE",31,"21 - 10",21,10,0.677,105.4,93.4,47.2,45.6,17.7,18.5,32.3,29.1,30.5,27.8,45.8,45.1,33.2,31.1,67.6,1.9,"First Round",8,2022
"596","South Dakota St.","Sum",33,"30 - 3",30,3,0.909,114.1,103.5,59.2,51.4,15.3,15.8,23.7,24.3,34.6,21.3,55.9,50.3,43.7,35.2,69.6,1.5,"First Round",13,2022
"597","TCU","B12",34,"21 - 13",21,13,0.618,108.6,92.1,48.7,47.4,21.4,18.6,37.7,26.1,31.4,26.9,50.3,48,30.2,30.9,65.9,2.9,"Second Round",9,2022
"598","Tennessee","SEC",35,"27 - 8",27,8,0.771,111.3,87.1,50.7,46.4,17.7,22.9,32.4,27.2,29,31.5,48.5,46,35.9,31.3,67.4,8,"Second Round",3,2022
"599","Texas","B12",34,"22 - 12",22,12,0.647,112.5,91.5,50.1,47,17.8,23,31.6,29.8,32,39,50.5,46.6,33,31.8,63.5,3.4,"Second Round",6,2022
"600","Texas A&M Corpus Chris","Slnd",31,"23 - 8",23,8,0.742,96.4,102.8,47.2,49,19.7,22.6,34,28.8,38,42.3,46.9,50.3,31.8,31.5,69.2,-7.6,"First Four",16,2022
"601","Texas Southern","SWAC",32,"19 - 13",19,13,0.594,96.3,98.5,48.2,45.3,21.4,17.3,33,28,33.6,33.4,48.6,45.1,31.4,30.4,68.1,-6.8,"First Round",16,2022
"602","Texas Tech","B12",37,"27 - 10",27,10,0.73,110.5,85.4,52.6,45.8,19.8,23.2,33.2,25.8,35.1,31.9,54.9,44.5,32.1,31.5,66.3,6.6,"Sweet Sixteen",3,2022
"603","UAB","CUSA",33,"27 - 6",27,6,0.818,111.8,99.1,52.8,48.4,16.4,21.1,33.3,27.5,29.3,31.3,50.8,47.8,38,32.9,68.9,-0.1,"First Round",12,2022
"604","UCLA","P12",35,"27 - 8",27,8,0.771,115.8,92.2,50.6,47.6,13.2,19.4,31.3,25.3,29.5,28.3,49.5,47.3,35.4,32.1,65.4,5.1,"Sweet Sixteen",4,2022
"605","USC","P12",34,"26 - 8",26,8,0.765,108.6,96.2,51.2,44.7,17.9,14.4,33.5,26.7,30.9,26.8,50.1,42,35.7,33.2,66.2,4.1,"First Round",7,2022
"606","Vermont","AE",33,"28 - 5",28,5,0.848,109.7,97.3,57.1,47.7,14.7,16.8,23.7,18.7,26.7,23.3,58.6,45.3,36.8,34.4,64.8,-0.8,"First Round",13,2022
"607","Villanova","BE",38,"30 - 8",30,8,0.789,117.2,93,51.5,47.3,15.5,18.4,31.2,28.9,29.8,25,49.5,48.1,35.9,30.8,62.2,7.3,"Final Four",2,2022
"608","Virginia Tech","ACC",36,"23 - 13",23,13,0.639,115.6,95.2,55.1,49,17,18.7,27.8,26.2,24.5,25.6,52.6,49.3,39.2,32.3,63.3,1.7,"First Round",11,2022
"609","Wisconsin","B10",33,"25 - 8",25,8,0.758,108.7,93.4,47.7,49,13,17,25.9,24.4,32.4,27.2,48.7,49,30.7,32.5,66.4,6.5,"Second Round",3,2022
"610","Wright St.","Horz",35,"22 - 13",22,13,0.629,104.8,106.2,51.7,51.4,17.7,18.5,31,30.1,31.6,26.1,52.5,51.9,33.4,33.8,68.8,-8.4,"First Round",16,2022
"611","Wyoming","MWC",33,"25 - 8",25,8,0.758,107.9,97.3,52.3,47.1,17.1,15.7,25.5,24.6,37.1,24.8,54.4,48.4,33,30.1,65.8,1.9,"First Four",12,2022
"612","Yale","Ivy",30,"19 - 11",19,11,0.633,99.4,97.9,49.7,48.9,18.3,18.2,25.6,26.7,32.2,32.1,50.1,51.2,32.6,30.5,68.9,-4.9,"First Round",14,2022
"613","Alabama","SEC",37,"31 - 6",31,6,0.838,116.1,89,52.1,41.3,18.7,15.8,34.2,27.9,36.6,32.6,53.8,40.8,33.5,28.3,72.6,10.2,"Sweet Sixteen",1,2023
"614","Arizona","P12",35,"28 - 7",28,7,0.8,119.4,95.4,56.5,47.1,18.4,16.9,30.7,26.1,35.8,25.5,56.4,46.2,37.8,32.3,72.2,7.6,"First Round",2,2023
"615","Arizona St.","P12",36,"23 - 13",23,13,0.639,108.4,95,48.4,46.5,16.8,20.1,29.2,31.5,31.2,33.5,48.5,43.6,32.2,34.1,68.1,1.2,"First Round",11,2023
"616","Arkansas","SEC",36,"22 - 14",22,14,0.611,111.9,93.3,50.9,47.2,18.1,20.5,30.8,27.9,39.3,39.5,52.5,47.4,31.3,31.1,69.5,0.4,"Sweet Sixteen",8,2023
"617","Auburn","SEC",34,"21 - 13",21,13,0.618,113.1,94.9,49.5,45.7,17.7,18.9,32.8,32.4,36.3,38.9,50.7,47,31.5,28.8,67.6,1.1,"Second Round",9,2023
"618","Baylor","B12",34,"23 - 11",23,11,0.676,121.7,100.6,53.2,51.6,17.9,19.9,34.4,30.9,36.8,31.3,51.6,53.3,36.8,32.5,66.9,5.2,"Second Round",3,2023
"619","Boise St.","MWC",33,"24 - 9",24,9,0.727,110.1,95.6,51.6,47.5,16.6,17.5,27.2,24,30.3,27.6,50.6,48,35.6,31.2,66.3,2.1,"First Round",10,2023
"620","Colgate","Pat",34,"26 - 8",26,8,0.765,112.5,106.1,58.2,52.2,15,17.6,25,24.5,27.3,20.2,56.9,51.5,40.5,35.6,67.5,-3.7,"First Round",15,2023
"621","College of Charleston","CAA",34,"31 - 3",31,3,0.912,109.4,97.7,51.1,47.9,16.7,19.3,34.6,25.4,32.7,24.9,52.5,49.1,33,30.1,71,1.7,"First Round",12,2023
"622","Connecticut","BE",39,"31 - 8",31,8,0.795,121.5,91.2,53.9,44.4,18.9,18.5,38.5,26.1,30.8,37.8,53.6,44.4,36.3,29.7,66.7,5,"Champion",4,2023
"623","Creighton","BE",37,"24 - 13",24,13,0.649,115,93.2,54.2,47.1,16.6,13.9,25.3,23.5,28.4,19.7,55.1,45.7,35.4,33.6,67.7,2.2,"Elite Eight",6,2023
"624","Drake","MVC",34,"27 - 7",27,7,0.794,108.8,95.6,52.9,46.9,15.5,17.5,23.8,22.4,28.4,27.4,51.9,46.9,36.4,31.3,66.3,-0.7,"First Round",12,2023
"625","Duke","ACC",36,"27 - 9",27,9,0.75,113.3,92.9,51.1,46,18.3,16.5,35.9,26.1,29.9,23.7,51.5,46.2,33.5,30.5,64.9,4.5,"Second Round",5,2023
"626","Fairleigh Dickinson","NEC",35,"21 - 14",21,14,0.6,106.1,114.7,51.3,54.7,16.3,21.1,30.9,29.3,28,33.9,51.1,55.8,34.3,35.3,68.6,-12.2,"Second Round",16,2023
"627","Florida Atlantic","CUSA",37,"35 - 2",35,2,0.946,114,95.8,54.3,46.1,16.9,17.7,31.4,25.4,29.6,26.3,53.8,44.7,36.6,32.4,67.5,4.7,"Final Four",9,2023
"628","Furman","SC",33,"28 - 5",28,5,0.848,112.7,104.8,55,50.7,15.7,18.2,28.9,27.3,34.8,31.9,58.3,51.5,34.1,32.7,68.2,-2,"Second Round",13,2023
"629","Gonzaga","WCC",36,"31 - 5",31,5,0.861,123.2,99,57.6,51.4,14.8,17.8,31.2,25.6,34.1,26,58.2,50.6,37.5,35.2,70.1,6.6,"Elite Eight",3,2023
"630","Grand Canyon","WAC",33,"24 - 9",24,9,0.727,111.3,106,52.8,47.5,18.1,15.1,30.2,30.4,36.9,33.2,50.4,47.1,37.6,32.3,64.9,-3.8,"First Round",14,2023
"631","Houston","Amer",37,"33 - 4",33,4,0.892,117.3,90.3,52.3,42.7,15.4,21.1,37.1,27.7,28.9,35.7,53.1,43.4,34,27.9,63.4,8,"Sweet Sixteen",1,2023
"632","Howard","MEAC",32,"22 - 10",22,10,0.688,102.7,106.3,51.8,50.9,22.8,20.6,33.7,31.9,32.2,33.9,49.8,51.1,36.9,33.8,69,-7.3,"First Round",16,2023
"633","Illinois","B10",33,"20 - 13",20,13,0.606,108.9,95.4,51.4,46.7,18.4,18.5,31.6,26.7,34.3,30.1,55.1,45.1,30.8,33.4,69.8,0.9,"First Round",9,2023
"634","Indiana","B10",35,"23 - 12",23,12,0.657,113.1,96.9,53.5,47.2,16.8,16.3,28.1,29,29.5,29.8,53,45.4,36.8,33.4,67.9,3.4,"Second Round",4,2023
"635","Iona","MAAC",35,"27 - 8",27,8,0.771,110.3,98.3,51.6,46.3,15.1,20.7,31.6,30.8,29,30.9,50.4,47.1,36.2,29.7,68.5,-1.7,"First Round",13,2023
"636","Iowa","B10",33,"19 - 14",19,14,0.576,119.9,103.9,51.7,53.3,14,18.2,32.1,27.4,32.3,23.8,52.1,52.5,34,36.6,69.6,0.3,"First Round",8,2023
"637","Iowa St.","B12",33,"19 - 14",19,14,0.576,107,90.9,49.9,49.9,19.6,25,33.9,26.5,27.9,40.8,50,49.2,33.1,33.7,64,2.4,"First Round",6,2023
"638","Kansas","B12",36,"28 - 8",28,8,0.778,113.8,92.3,52.6,47,17.5,20.2,28.7,28.7,29.8,31.1,53,47.2,34.7,31,69,10.1,"Second Round",1,2023
"639","Kansas St.","B12",36,"26 - 10",26,10,0.722,112.6,94.7,52.3,48.1,19.3,21,29.9,30.3,36.1,36.3,52.8,49.2,34.3,30.8,69.8,4.2,"Elite Eight",3,2023
"640","Kennesaw St.","ASun",32,"26 - 6",26,6,0.812,105.6,100.3,52.7,51.1,17.8,19.5,27.3,25.4,35.9,36.8,51.2,50.6,36.8,34.5,68.4,-1.4,"First Round",14,2023
"641","Kent St.","MAC",33,"28 - 5",28,5,0.848,107,97,50.8,47.3,16.3,22.3,31.3,30.2,31.5,38.1,51.4,47.9,33.2,31,67.8,0.8,"First Round",13,2023
"642","Kentucky","SEC",34,"22 - 12",22,12,0.647,115.7,97.7,50.6,48.6,17.4,16.6,39.2,25,31.9,29.9,50,48.6,34.7,32.4,65.8,1.6,"Second Round",6,2023
"643","Louisiana Lafayette","SB",31,"26 - 5",26,5,0.839,110.8,101.6,52.8,50.5,17.7,18.4,33.3,26.3,37,34.2,51.9,49.3,36.5,35.6,68.4,-0.5,"First Round",13,2023
"644","Marquette","BE",36,"29 - 7",29,7,0.806,118.7,96,56,51,15.3,22.5,26.2,31.7,27,29.1,58.2,50.3,35.3,34.7,68.4,7.8,"Second Round",2,2023
"645","Maryland","B10",35,"22 - 13",22,13,0.629,112.6,95.8,50.8,47.7,16.5,18.4,30,28.1,34.3,28.4,51.8,47.4,32.8,32.3,64.3,1,"Second Round",8,2023
"646","Memphis","Amer",35,"26 - 9",26,9,0.743,115.4,95,53,46.7,18.3,20.8,31.2,32.7,35.4,34.4,53.1,47.1,35.3,30.8,71,4.7,"First Round",8,2023
"647","Miami FL","ACC",37,"29 - 8",29,8,0.784,119.1,100.9,54.3,51.2,16.1,18.1,31.8,28.8,30.7,24,53.8,51.8,36.8,33.5,68.6,3.7,"Final Four",5,2023
"648","Michigan St.","B10",34,"21 - 13",21,13,0.618,114.4,96.4,51.7,48.6,16.4,14.8,27.6,25.2,27.2,28,48.2,48.7,39.3,32.4,64.6,2.4,"Sweet Sixteen",7,2023
"649","Mississippi St.","SEC",34,"21 - 13",21,13,0.618,103.4,91.8,46.7,46.2,19.4,21.7,35.5,28.6,33.8,27.6,50.4,45.8,26.6,31.1,63.6,0.4,"First Four",11,2023
"650","Missouri","SEC",35,"25 - 10",25,10,0.714,117.5,104.5,55,52.3,15.8,24,26.3,37.2,29.1,34.2,55.8,52.2,36,35,68.9,3.5,"Second Round",7,2023
"651","Montana St.","BSky",33,"25 - 8",25,8,0.758,105.1,98.2,51,49.8,17.8,20.1,25.7,25.4,44,35.1,52.6,48.8,31.8,34.6,66.3,-2.7,"First Round",14,2023
"652","Nevada","MWC",32,"22 - 10",22,10,0.688,109.7,99.5,50.7,49.8,15.3,18.5,22.8,24.9,39.1,31.8,50.2,50,34.4,33,65.9,0.7,"First Four",11,2023
"653","North Carolina St.","ACC",34,"23 - 11",23,11,0.676,113.6,99.2,51.5,49.8,13.5,18.8,30.4,26.2,25.3,34,51.1,50.9,34.7,31.6,69.2,1.1,"First Round",11,2023
"654","Northern Kentucky","Horz",33,"22 - 11",22,11,0.667,102.6,101.4,49.1,51.3,17.3,23.3,31.6,33,26.9,30.5,47.4,49.3,34.3,36.4,61.9,-6.7,"First Round",16,2023
"655","Northwestern","B10",34,"22 - 12",22,12,0.647,109.7,93.4,47.3,48.4,14.7,21.3,28.6,27.7,29.7,31.6,46.7,46.8,32.1,33.8,64.5,1.6,"Second Round",7,2023
"656","Oral Roberts","Sum",31,"30 - 1",30,1,0.968,111.8,101.6,55.4,48.6,13.3,17.4,24.5,27.7,24.2,21.7,55.9,46.8,36.5,34.3,70.2,1.6,"First Round",12,2023
"657","Penn St.","B10",37,"23 - 14",23,14,0.622,117.5,100.7,55.4,49.1,13.7,13.1,19.2,25.6,21.3,25.5,53.1,49.2,38.7,32.7,64.3,1.3,"Second Round",10,2023
"658","Pittsburgh","ACC",36,"24 - 12",24,12,0.667,113.1,101.6,52.5,48.5,16.3,16.6,29.5,28.6,32.9,30.4,51.4,48.2,36,32.6,67.2,-0.3,"Second Round",11,2023
"659","Princeton","Ivy",30,"23 - 7",23,7,0.767,109.1,101,52.2,48.4,16.5,14.7,28.1,22.6,30.4,28.1,53.3,48.1,33.7,32.7,67,-3.2,"Sweet Sixteen",15,2023
"660","Providence","BE",33,"21 - 12",21,12,0.636,114.9,101.2,51.1,49.7,16.8,16.9,34.7,27.3,36.3,25.4,50.8,49.2,34.6,33.8,66.8,1.3,"First Round",11,2023
"661","Purdue","B10",35,"29 - 6",29,6,0.829,117.9,93.7,51.8,47.2,17.2,15.4,38.4,23.5,37.2,19.2,54.1,47.2,32.2,31.3,63.9,9.4,"First Round",1,2023
"662","Saint Mary's","WCC",34,"27 - 7",27,7,0.794,112.1,90.5,52,47.1,16.4,19.2,32.6,21.9,32,29.9,50.8,45.7,36.1,33.3,61.9,3.4,"Second Round",5,2023
"663","San Diego St.","MWC",38,"32 - 6",32,6,0.842,110.8,89.5,49.3,46.5,17.3,19.1,31.6,26.1,33.2,30.2,48.4,49.3,34,28.3,65.7,5.7,"Runner-up",5,2023
"664","Southeast Missouri St.","OVC",34,"19 - 15",19,15,0.559,99.4,107.8,50.1,51.3,17.3,19,25,28.3,38.2,44.1,50.3,50.7,33.2,35,72,-11.7,"First Four",16,2023
"665","TCU","B12",35,"22 - 13",22,13,0.629,111.7,94.6,50,48.1,16.7,21.6,32.2,30.5,34.1,30.1,51.5,49.2,31,30.8,69.7,2.2,"Second Round",6,2023
"666","Tennessee","SEC",36,"25 - 11",25,11,0.694,111.2,87.5,49.9,42.8,18.1,22.2,36.4,26.9,30.7,33.8,50.3,45.1,32.8,26.5,65.1,2.8,"Sweet Sixteen",4,2023
"667","Texas","B12",38,"29 - 9",29,9,0.763,116.1,91.8,53.3,48.1,16.3,22.1,28.3,29,30.5,33.7,54,47.9,34.7,32.4,68.5,7.5,"Elite Eight",2,2023
"668","Texas A&M","SEC",35,"25 - 10",25,10,0.714,113.8,95.7,48.8,48.2,18.3,20.9,36.7,30.4,45.1,34.7,48.8,47.2,32.6,33,66,3.7,"First Round",7,2023
"669","Texas A&M Corpus Chris","Slnd",31,"24 - 7",24,7,0.774,105.8,107.4,50.5,52.6,17.7,20.4,32.8,27.8,34.8,38.2,48.3,54.1,36.4,33.8,68.9,-6,"First Round",16,2023
"670","Texas Southern","SWAC",33,"14 - 19",14,19,0.424,95.4,105.4,46.1,49.6,20.3,18.5,29.2,27.5,34.3,38.8,47.7,48.9,28,33.9,69.2,-13.5,"First Four",16,2023
"671","UC Santa Barbara","BW",33,"27 - 6",27,6,0.818,110,105.7,54.1,50.1,17,18.5,26.3,26.1,34.4,29.2,54.8,49.3,34.8,34.6,64.4,-1.5,"First Round",14,2023
"672","UCLA","P12",37,"31 - 6",31,6,0.838,114.9,88.5,51.1,46.8,14.9,23.3,33,28.2,27.4,27.5,50.6,46.9,34.9,31.1,66.1,8.4,"Sweet Sixteen",2,2023
"673","UNC Asheville","BSth",33,"27 - 6",27,6,0.818,102.3,103.5,53.6,48.3,20.1,17.8,25.7,29.1,40.9,26.8,51.1,49.5,38.6,30.6,68.2,-1.9,"First Round",15,2023
